Main Category,Subcategory
Cereals & grains products,"Grains & whole grains, flours, wheat, rice, maize, barley, corn, sorghum"
,"Cereal products (breads, pasta, noodles, tortillas, etc.)"
,"Biscuits, cakes, doughs, pastries"
,Breakfast cereals
,Starch
,"Pulses, legumes, beans & their products"
Sugars & syrups,"Sugar (cane sugar, white / brown sugars)"
,"Syrups (glucose syrup, maple syrup, high fructose syrup)"
,Desserts
,Artificial sweetener
,Chewing gum (all types)
Honey & bee products,Honey
,"Bee pollen, royal jelly, propolis, beeswax"
Beverages,Soft/carbonated drinks
,Flavored artificial drink powders
,Beer & malt beverages
"Salts, herbs, spices & sauces",Salts (all types)
,Dried herbs and spices
,Condiments and sauces
,Leavening agents
,Soups & broths
"Coffee, tea & herbal infusions",Coffee & its products
,Tea & its products
,Herbal infusion & its products
Composite & prepared/processed meals,"Ready-to-eat meals, frozen or chilled meals that need to be heated (e.g., pizzas, pies & sandwiches, etc.)"
Infant/baby foods,Infant formula
,Prepared infant foods
,Infant cereals
Special dietary foods & drinks,"Reduced energy foods, diabetic foods, low-sodium food, sport drinks (water added vitamins/minerals) & food (high protein)"
,"Parenteral & enteral feed, therapeutic meal replacement"
Bottled drinking water,"Bottled drinking water, mineral water"
,Sparkling water
,Flavored water
,Ice
Cocoa & sweet confectionery,Raw cocoa
,Chocolate products (bars/powder/liquid)
,Chocolate-based confectionery & candies
Vegetables & vegetable products,"Fresh vegetables (cucumbers, tomato, etc.)"
,Processed vegetables (frozen/dried/processed/canned) like tomato paste
,Vegetable juices
,"Mushroom, fungi"
,"Leafy vegetables, leafy herbs, grape leaves, edible flowers"
,"Roots, tubers & their products (e.g., potato, sweet potato, yams, cassavas, taros & sunroot)"
Dietary Supplements and Energy Drinks,Energy drinks
,Dietary supplements
Novel Food,Novel Food
Fruits & fruit products,"Fresh fruits (berries, citrus fruit, etc.)"
,Processed fruits (frozen/dried/canned)
,"Jams, jellies & marmalades"
,"Juices (fresh, nectar & fruit drinks)"
Nuts & seeds,"Nuts (hazelnut, almond, pistachio, cashew, walnut, etc.) & their products (almond drink, etc.)"
,Seeds & their products
Oils & fats,"Plant fats & oils (oilseeds, seed oils, margarines)"
,"Animal fats & oils (ghee, butter, marine oils)"
Fish & seafood products,Fish
,Molluscs
,Crustacea
,"Processed marine animals (dried, salted, smoked, canned)"
,Seaweed & algae
Meat & meat products,All red meat species
,Poultry
,"Offal (Brain, Heart, Kidney, Liver, Lung, etc.)"
,Processed meat products
Egg & egg products,Fresh eggs
,Processed eggs (Frozen / dried / liquid eggs)
Milk & dairy,Milk & its products
,Yoghurts & its products
,Cheeses & its products
,Creams & its products
